"attributes.page.rank.list.vector..names","as.vector.page.rank.list.vector."
"sfunc",2.78649160512941e-05
"special",5.28378048678458e-05
"ptrace",2.12480596866848e-05
"posix-ipc",3.02784850535259e-05
"puppetfile",2.12480596866848e-05
"python27-sys",2.96333999185611e-05
"python_rub",2.12480596866848e-05
"qrcode",5.68967388729287e-05
"checked_int_cast",3.33386166971822e-05
"queryst",2.66558901733212e-05
"antidote",0.000177676938307426
"scheduled-thread-pool",5.61543355267977e-05
"racer",3.02784850535259e-05
"syntex_errors",0.00101928783559924
"rblas",5.70974727434443e-05
"rdrand",2.12480596866848e-05
"readline",2.81283837757066e-05
"readline-sys",3.32026227913601e-05
"recursive_sync",2.12480596866848e-05
"redis",0.000245278459966046
"sha1",0.000314406265097804
"redlock-rs",2.12480596866848e-05
"regex-syntax",0.00218069672759226
"aho-corasick",0.000908205536877136
"utf8-ranges",0.00088356668063651
"mempool",0.000859573845380986
"thread_local",0.00104032266143404
"resources_package",2.12480596866848e-05
"resources_package_package",3.93089104203669e-05
"rethinkdb",2.12480596866848e-05
"roaring",3.22702585803055e-05
"rocksdb",3.33478914974859e-05
"librocksdb-sys",4.90915842120997e-05
"rscam",2.4826878691029e-05
"rsmtp",2.12480596866848e-05
"rtlsdr",2.12480596866848e-05
"rum",2.12480596866848e-05
"rusqlite",0.000146041358663809
"libsqlite3-sys",4.01173790469386e-05
"lru-cache",7.53265634169169e-05
"rust-assimp",2.12480596866848e-05
"rustbox",6.5857153924478e-05
"termbox-sys",3.57707367635281e-05
"gag",5.07311414545948e-05
"rustclient",2.12480596866848e-05
"rust_erl_ext",2.12480596866848e-05
"rustfmt",9.32047613708111e-05
"unicode-segmentation",0.000523035750907956
"strings",2.62562965655804e-05
"multimap",4.03155943786632e-05
"rust-freqdist",2.3054144760053e-05
"rustic-io",2.12480596866848e-05
"rustless",2.12480596866848e-05
"valico",2.92846935831363e-05
"mopa",5.95833367759883e-05
"dsl_macros",2.20690074473067e-05
"rust-mdbm",2.12480596866848e-05
"mdbm-sys",3.93089104203669e-05
"rust_rub",2.12480596866848e-05
"rustspec",2.12480596866848e-05
"rustspec_assertions",3.93089104203669e-05
"rust-sqlite",2.39452966474636e-05
"rust-xmlrpc",2.12480596866848e-05
"rusty-tags",2.12480596866848e-05
"scopeguard",0.00012317743518543
"scgi",2.12480596866848e-05
"schroedinger_box",2.12480596866848e-05
"scirust",2.12480596866848e-05
"screenshot",2.22514402830005e-05
"sdl",2.12480596866848e-05
"sdl2-sys",0.000104964496981356
"sdl2_mixer",2.60747062705772e-05
"tar",0.000146005319088438
"secrets",2.54730086975997e-05
"select",6.74116665671262e-05
"html5ever",0.000125299628298645
"bit-set",0.000352658262554113
"html5ever_dom_sink",2.94337620555501e-05
"tendril",9.53692012407935e-05
"string_cache",0.00012174831073511
"html5ever-atoms",6.74462553209339e-05
"selectors",4.23675734755193e-05
"quickersort",3.7746842844873e-05
"string_cache_plugin",4.24969127321883e-05
"precomputed-hash",3.21987728660682e-05
"servo_arc",2.33664383604608e-05
"gecko_atom",2.33664383604608e-05
"select_color",2.12480596866848e-05
"crates-index",0.000317319939412187
